Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F
"10","Australia","526","Apricots","5419","Yield","hg/ha","107251.000000","Fc","107251.000000","Fc","104022.000000","Fc","86337.000000","Fc","113069.000000","Fc","102046.000000","Fc","136772.000000","Fc","92095.000000","Fc","123539.000000","Fc","115187.000000","Fc","153494.000000","Fc","135782.000000","Fc","131578.000000","Fc","121251.000000","Fc","99535.000000","Fc","99627.000000","Fc","110500.000000","Fc","103908.000000","Fc","131564.000000","Fc","111194.000000","Fc","130302.000000","Fc","116167.000000","Fc","118805.000000","Fc","101288.000000","Fc","102878.000000","Fc","127273.000000","Fc","115300.000000","Fc","112968.000000","Fc","102739.000000","Fc","100627.000000","Fc","88530.000000","Fc","110634.000000","Fc","97560.000000","Fc","64634.000000","Fc","89888.000000","Fc","64985.000000","Fc","76914.000000","Fc","68936.000000","Fc","64727.000000","Fc","64113.000000","Fc","56161.000000","Fc","41183.000000","Fc","63684.000000","Fc","45703.000000","Fc","40506.000000","Fc","28200.000000","Fc","32798.000000","Fc","30477.000000","Fc","27308.000000","Fc","24774.000000","Fc","20918.000000","Fc","19343.000000","Fc","18277.000000","Fc","14779.000000","Fc","12438.000000","Fc","18946.000000","Fc","13378.000000","Fc","19054.000000","Fc","18616.000000","Fc"
"10","Australia","526","Apricots","5510","Production","tonnes","40691.000000","","40691.000000","","41661.000000","","35044.000000","","42853.000000","","38706.000000","","52370.000000","","33062.000000","","43634.000000","","39509.000000","","52802.000000","","46709.000000","","43947.000000","","37709.000000","","28069.000000","","26202.000000","","26741.000000","","24834.000000","","31049.000000","","26353.000000","","30621.000000","","27067.000000","","26850.000000","","23600.000000","","24485.000000","","28000.000000","","26519.000000","","28355.000000","","27945.000000","","29685.000000","","25231.000000","","31752.000000","","29463.000000","","21200.000000","","29753.000000","","21640.000000","","25920.000000","","19881.000000","","21483.000000","","19875.000000","","20639.000000","","12355.000000","","19742.000000","","10658.000000","","19698.000000","","16920.000000","","17327.000000","","17000.000000","F","13673.000000","","13175.000000","Im","13283.000000","","12186.000000","Im","11551.000000","Im","9237.000000","Im","9697.000000","Im","8700.000000","","5351.000000","","8801.000000","","8377.000000",""
"10","Australia","367","Asparagus","5312","Area harvested","ha","1321.000000","","1426.000000","","1616.000000","","1646.000000","","1609.000000","","1711.000000","","1746.000000","","1679.000000","","1657.000000","","1876.000000","","1991.000000","","2450.000000","","2015.000000","","1798.000000","","2289.000000","","1637.000000","","1466.000000","","1470.000000","","1279.000000","","1100.000000","F","950.000000","*","1078.000000","","973.000000","","1165.000000","","1470.000000","","1650.000000","","1816.000000","","1967.000000","","1811.000000","","1424.000000","","1550.000000","","1519.000000","","1600.000000","F","1700.000000","F","1785.000000","","1877.000000","","2139.000000","","2005.000000","","2143.000000","","2997.000000","","2406.000000","","2363.000000","","2286.000000","","2245.000000","","2304.000000","","2056.000000","","1302.000000","","1604.000000","","1616.000000","","1787.000000","Im","2072.000000","","1893.000000","Im","1667.000000","Im","1645.000000","Im","1635.000000","Im","1564.000000","Im","1534.000000","Im","1516.000000","Im","1504.000000","Im"
"10","Australia","367","Asparagus","5419","Yield","hg/ha","39833.000000","Fc","39208.000000","Fc","38960.000000","Fc","33275.000000","Fc","37620.000000","Fc","34302.000000","Fc","43219.000000","Fc","37939.000000","Fc","31889.000000","Fc","28129.000000","Fc","33707.000000","Fc","27576.000000","Fc","27375.000000","Fc","25729.000000","Fc","19900.000000","Fc","26964.000000","Fc","29072.000000","Fc","31163.000000","Fc","37201.000000","Fc","36364.000000","Fc","42105.000000","Fc","29620.000000","Fc","36166.000000","Fc","56309.000000","Fc","31687.000000","Fc","26485.000000","Fc","33838.000000","Fc","30391.000000","Fc","31844.000000","Fc","45723.000000","Fc","38677.000000","Fc","40323.000000","Fc","38750.000000","Fc","40971.000000","Fc","34824.000000","Fc","39505.000000","Fc","36858.000000","Fc","49875.000000","Fc","46402.000000","Fc","54735.000000","Fc","51987.000000","Fc","59035.000000","Fc","53469.000000","Fc","46174.000000","Fc","49015.000000","Fc","47359.000000","Fc","43080.000000","Fc","60966.000000","Fc","43199.000000","Fc","49440.000000","Fc","49595.000000","Fc","50655.000000","Fc","50366.000000","Fc","51313.000000","Fc","51364.000000","Fc","50799.000000","Fc","50893.000000","Fc","50963.000000","Fc","51064.000000","Fc"
"10","Australia","367","Asparagus","5510","Production","tonnes","5262.000000","","5591.000000","","6296.000000","","5477.000000","","6053.000000","","5869.000000","","7546.000000","","6370.000000","","5284.000000","","5277.000000","","6711.000000","","6756.000000","","5516.000000","","4626.000000","","4555.000000","","4414.000000","","4262.000000","","4581.000000","","4758.000000","","4000.000000","F","4000.000000","*","3193.000000","","3519.000000","","6560.000000","","4658.000000","","4370.000000","","6145.000000","","5978.000000","","5767.000000","","6511.000000","","5995.000000","","6125.000000","","6200.000000","F","6965.000000","Im","6216.000000","","7415.000000","","7884.000000","","10000.000000","F","9944.000000","Im","16404.000000","","12508.000000","","13950.000000","","12223.000000","","10366.000000","","11293.000000","","9737.000000","","5609.000000","","9779.000000","","6981.000000","","8835.000000","Im","10276.000000","","9589.000000","Im","8396.000000","Im","8441.000000","Im","8398.000000","Im","7945.000000","Im","7807.000000","Im","7726.000000","Im","7680.000000","Im"
"10","Australia","572","Avocados","5312","Area harvested","ha",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","2700.000000","F","3000.000000","F","3000.000000","F","3100.000000","F","3100.000000","F","2900.000000","F","3000.000000","F","3200.000000","F","3196.000000","Im","3500.000000","F","3900.000000","F","4100.000000","F","5000.000000","F","4884.000000","Im","6000.000000","F","5596.000000","Im","6500.000000","F","6000.000000","F","8000.000000","F","8798.000000","Im","7000.000000","F","7200.000000","F","9800.000000","F","9642.000000","Im","8555.000000","Im","10003.000000","Im","9500.000000","F","10000.000000","F","11000.000000","F","9000.000000","F","10412.000000","Im","14235.000000","Im","11967.000000","Im","13447.000000","Im","16846.000000","Im"
"10","Australia","572","Avocados","5419","Yield","hg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25926.000000","Fc","32333.000000","Fc","32660.000000","Fc","35748.000000","Fc","36819.000000","Fc","41397.000000","Fc","38473.000000","Fc","40391.000000","Fc","40441.000000","Fc","40000.000000","Fc","40103.000000","Fc","40039.000000","Fc","40144.000000","Fc","41306.000000","Fc","40518.000000","Fc","42845.000000","Fc","45898.000000","Fc","47475.000000","Fc","50664.000000","Fc","47621.000000","Fc","46620.000000","Fc","47850.000000","Fc","48202.000000","Fc","46671.000000","Fc","44977.000000","Fc","42473.000000","Fc","38237.000000","Fc","48951.000000","Fc","48165.000000","Fc","48854.000000","Fc","47442.000000","Fc","47489.000000","Fc","47214.000000","Fc","47212.000000","Fc","47212.000000","Fc"
"10","Australia","572","Avocados","5510","Production","tonnes","400.000000","F","400.000000","F","500.000000","F","500.000000","F","600.000000","F","600.000000","F","700.000000","F","700.000000","F","800.000000","F","800.000000","F","900.000000","F","941.000000","","688.000000","","664.000000","","710.000000","","570.000000","","662.000000","","980.000000","","1400.000000","*","1700.000000","*","2400.000000","*","3400.000000","*","5400.000000","","6200.000000","","7000.000000","","9700.000000","","9798.000000","","11082.000000","","11414.000000","","12005.000000","","11542.000000","","12925.000000","","12925.000000","","14000.000000","F","15640.000000","","16416.000000","","20072.000000","","20174.000000","","24311.000000","","23976.000000","","29834.000000","","28485.000000","","40531.000000","","41897.000000","","32634.000000","","34452.000000","","47238.000000","","45000.000000","F","38478.000000","","42486.000000","Im","36325.000000","","48951.000000","","52982.000000","","43969.000000","","49397.000000","","67600.000000","","56501.000000","","63486.000000","","79533.000000",""
"10","Australia","486","Bananas","5312","Area harvested","ha","10353.000000","","10353.000000","","10971.000000","","10845.000000","","9792.000000","","9411.000000","","9130.000000","","9354.000000","","9457.000000","","9420.000000","","9409.000000","","9027.000000","","8593.000000","","8075.000000","","7280.000000","","6875.000000","","6679.000000","","6148.000000","","6878.000000","","7109.000000","","7603.000000","","7571.000000","","7844.000000","","8129.000000","","7832.000000","","7659.000000","","7769.000000","","7969.000000","","7941.000000","","7924.000000","","7962.000000","","8159.000000","","8656.000000","","8756.000000","","8281.000000","","8893.000000","","9589.000000","","10478.000000","","11405.000000","","13436.000000","","11737.000000","","12583.000000","","10659.000000","","10861.000000","","10361.000000","","11168.000000","","11662.000000","","9853.000000","","11992.000000","","11543.000000","","11196.000000","","13496.000000","","14218.000000","","12085.000000","","11788.000000","","16612.000000","","14021.000000","","12477.000000","","11902.000000",""
"10","Australia","486","Bananas","5419","Yield","hg/ha","119640.000000","Fc","119640.000000","Fc","111881.000000","Fc","124690.000000","Fc","130432.000000","Fc","126704.000000","Fc","136341.000000","Fc","139713.000000","Fc","132686.000000","Fc","139139.000000","Fc","140913.000000","Fc","141613.000000","Fc","121727.000000","Fc","131018.000000","Fc","137207.000000","Fc","150157.000000","Fc","172274.000000","Fc","159089.000000","Fc","164484.000000","Fc","176006.000000","Fc","163542.000000","Fc","171156.000000","Fc","179094.000000","Fc","180124.000000","Fc","184849.000000","Fc","173327.000000","Fc","203012.000000","Fc","200950.000000","Fc","246521.000000","Fc","227524.000000","Fc","207306.000000","Fc","216823.000000","Fc","247121.000000","Fc","250368.000000","Fc","251301.000000","Fc","247438.000000","Fc","208135.000000","Fc","212786.000000","Fc","197428.000000","Fc","191178.000000","Fc","305349.000000","Fc","248998.000000","Fc","248402.000000","Fc","236845.000000","Fc","256317.000000","Fc","167787.000000","Fc","182810.000000","Fc","210150.000000","Fc","225478.000000","Fc","261780.000000","Fc","181092.000000","Fc","211570.000000","Fc","232339.000000","Fc","210570.000000","Fc","213797.000000","Fc","213244.000000","Fc","294538.000000","Fc","299696.000000","Fc","260595.000000","Fc"
"10","Australia","486","Bananas","5510","Production","tonnes","123863.000000","","123863.000000","","122745.000000","","135226.000000","","127719.000000","","119241.000000","","124479.000000","","130688.000000","","125481.000000","","131069.000000","","132585.000000","","127834.000000","","104600.000000","","105797.000000","","99887.000000","","103233.000000","","115062.000000","","97808.000000","","113132.000000","","125123.000000","","124341.000000","","129582.000000","","140481.000000","","146423.000000","","144774.000000","","132751.000000","","157720.000000","","160137.000000","","195762.000000","","180290.000000","","165057.000000","","176906.000000","","213908.000000","","219222.000000","","208102.000000","","220047.000000","","199581.000000","","222957.000000","","225167.000000","","256867.000000","","358388.000000","","313314.000000","","264772.000000","","257237.000000","","265570.000000","","187384.000000","","213193.000000","","207061.000000","","270393.000000","","302173.000000","","202751.000000","","285535.000000","","330340.000000","","254474.000000","","252024.000000","","354241.000000","","412972.000000","","373931.000000","","310160.000000",""
"10","Australia","44","Barley","5312","Area harvested","ha","964512.000000","","820498.000000","","814765.000000","","835306.000000","","929849.000000","","1010784.000000","","1056818.000000","","1340995.000000","","1521163.000000","","2000057.000000","","2535421.000000","","2139902.000000","","1894474.000000","","1825550.000000","","2329000.000000","","2320963.000000","","2802638.000000","","2785000.000000","","2482354.000000","","2451000.000000","","2685000.000000","","2452436.000000","","3108544.000000","","3518105.000000","","3238000.000000","","2274000.000000","","2346000.000000","","2190112.000000","","2309935.000000","","2450000.000000","F","2650000.000000","F","2947000.000000","","3424470.000000","","2470490.000000","","3110590.000000","","3367000.000000","","3521000.000000","","3167000.000000","","2589000.000000","","3454000.000000","","3454047.000000","","3707378.000000","","3863778.000000","","4477024.000000","","4645658.000000","","4405727.000000","","4181979.000000","","4901838.000000","","5015011.000000","","4421596.000000","","3680994.000000","","3718261.000000","","3644368.000000","","3814113.000000","","4078041.000000","","4107648.000000","","4834102.000000","","4124158.000000","","4436588.000000",""
"10","Australia","44","Barley","5419","Yield","hg/ha","9759.000000","Fc","10940.000000","Fc","12080.000000","Fc","13390.000000","Fc","10204.000000","Fc","13819.000000","Fc","7897.000000","Fc","12277.000000","Fc","11167.000000","Fc","11755.000000","Fc","12089.000000","Fc","8070.000000","Fc","12653.000000","Fc","13777.000000","Fc","13650.000000","Fc","12266.000000","Fc","8504.000000","Fc","14384.000000","Fc","14919.000000","Fc","10942.000000","Fc","12849.000000","Fc","7905.000000","Fc","15729.000000","Fc","15788.000000","Fc","14827.000000","Fc","15602.000000","Fc","14565.000000","Fc","14801.000000","Fc","17508.000000","Fc","16766.000000","Fc","17094.000000","Fc","18313.000000","Fc","19472.000000","Fc","11792.000000","Fc","18719.000000","Fc","19887.000000","Fc","18410.000000","Fc","18904.000000","Fc","19479.000000","Fc","19522.000000","Fc","19523.000000","Fc","22333.000000","Fc","10003.000000","Fc","23189.000000","Fc","16660.000000","Fc","21521.000000","Fc","10179.000000","Fc","14607.000000","Fc","15945.000000","Fc","17787.000000","Fc","21719.000000","Fc","22109.000000","Fc","20502.000000","Fc","24054.000000","Fc","21202.000000","Fc","21892.000000","Fc","27939.000000","Fc","22438.000000","Fc","19878.000000","Fc"
"10","Australia","44","Barley","5510","Production","tonnes","941304.000000","","897655.000000","","984200.000000","","1118465.000000","","948822.000000","","1396808.000000","","834580.000000","","1646296.000000","","1698732.000000","","2351000.000000","","3065000.000000","","1727000.000000","","2397000.000000","","2515000.000000","","3179000.000000","","2846939.000000","","2383369.000000","","4006000.000000","","3703449.000000","","2682000.000000","","3450000.000000","","1938763.000000","","4889501.000000","","5554305.000000","","4801000.000000","","3548000.000000","","3417000.000000","","3241585.000000","","4044167.000000","","4107755.000000","","4529797.000000","","5396721.000000","","6668230.000000","","2913190.000000","","5822680.000000","","6696110.000000","","6482000.000000","","5987000.000000","","5043000.000000","","6743000.000000","","6743463.000000","","8279769.000000","","3864833.000000","","10381828.000000","","7739767.000000","","9481741.000000","","4257032.000000","","7160168.000000","","7996506.000000","","7864551.000000","","7994720.000000","","8220863.000000","","7471592.000000","","9174417.000000","","8646321.000000","","8992274.000000","","13505990.000000","","9253852.000000","","8818946.000000",""
"10","Australia","176","Beans, dry","5312","Area harvested","ha","809.000000","","809.000000","","2023.000000","","1214.000000","","1214.000000","","2023.000000","","2428.000000","","4053.000000","","5266.000000","","4644.000000","","8412.000000","","9516.000000","","4523.000000","","3230.000000","","7592.000000","","8224.000000","","10360.000000","","4784.000000","","4297.000000","","3314.000000","","5690.000000","","21748.000000","","23017.000000","","30390.000000","","41006.000000","","57932.000000","","36235.000000","","38302.000000","","24572.000000","","29788.000000","","32174.000000","","38000.000000","","27800.000000","","38100.000000","","41100.000000","","52700.000000","","44000.000000","","54000.000000","","52000.000000","","52000.000000","","47200.000000","","49100.000000","","26678.000000","","33597.000000","","40380.000000","","28000.000000","F","44291.000000","","45000.000000","","54585.000000","","86400.000000","","55000.000000","","38000.000000","","35000.000000","","35000.000000","","130190.000000","","129000.000000","","85934.000000","Im","79530.000000","Im","85659.000000","Im"
